Name,Legal_Name,Start_Date,Street_Number,Street_Name,ZIP_Code,Lat,Lon,Category
Adrian's Pizza,,11/7/14,605,Thompson Run Rd,15237,40.539465,-79.990764,Take Out
Adrian's Pizza Express,Rock Enterprises Inc,4/22/04,7824,Perry Hwy,15237,40.551219,-80.037362,Take Out
Allegheny Sandwich Shop,,2/24/97,414,Grant St,15219,40.43811,-79.99686,NO Dollar Menu
Allegheny Sandwich Shoppe #3,Allegheny Sandwich Shoppe Inc,11/9/01,440,Ross St,15219,40.438514,-79.99533,NO Dollar Menu
Amili's Pizzeria,,2/26/99,1021,Brownsville Rd,15210,40.406082,-79.991863,Take Out
Angelia's Pizza,JNG Pizza LLC,5/11/04,202,Moon Clinton Rd,15108,40.513135,-80.223406,Take Out
Angelia's Pizza / Chill Frozen Dessserts,Eaton Pizza Inc,10/7/05,410,Penn Lincoln Dr,15126,40.442466,-80.235992,Take Out
Antney's Ice Cream,The Iceman Inc,4/11/02,1316,Poplar St,15205,40.42747,-80.052435,"Breakfast, Drink, Other"
Arby's,Kinco Inc,1/1/75,1617,Freeport Rd,15065,40.622125,-79.727516,Dollar Menu
Arby's #8,Linell Corporation,12/3/07,3974,Wm Penn Hwy,15146,40.437988,-79.772845,Dollar Menu
Arby's #42,ARG Co.,7/10/97,1378,Banksville Rd,15216,40.414684,-80.030651,Dollar Menu
Arby's #164,ARG Co.,7/9/97,3417,Forbes Ave,15213,40.439175,-79.960709,Dollar Menu
Arby's #836,ARG Co.,6/17/84,1140,Washington Pike,15017,40.3679,-80.103172,Dollar Menu
Arby's #1203,ARG Co.,7/9/97,2251,Noblestown Rd,15205,40.428509,-80.0531,Dollar Menu
Arby's #1414,ARG Co.,7/9/97,6192,Steubenville Pike,15136,40.445808,-80.150631,Dollar Menu
Arby's #1691,ARG Co.,7/10/97,5030,Wm Flynn Hwy,15044,40.606809,-79.946719,Dollar Menu
Arby's #1773,Arby's Restaurant Group,1/15/16,19075,Perry Hwy,16046,40.6225913,-80.0533722,Dollar Menu
Arby's #1853,ARG Co.,7/9/97,3700,Library Rd,15234,40.364992,-80.020333,Dollar Menu
Arby's #1854,ARG Co.,7/10/97,1911,S Braddock Ave,15218,40.422721,-79.885611,Dollar Menu
Arby's #1858,ARG Co.,7/7/97,6105,Saltsburg Rd,15147,40.484692,-79.819176,Dollar Menu
Arby's #6941,ARG Co.,8/6/99,2040,Lebanon Church Rd,15122,40.34781,-79.94861,Dollar Menu
Arby's #7345,ARG Co.,10/15/02,4260,Ohio River Blvd,15202,40.487673,-80.055679,Dollar Menu
Arby's #7502,ARG Co.,1/21/04,1804,Golden Mile Hwy / Rt 286,15239,40.44655,-79.713077,Dollar Menu
Arby's #7548,ARG Co.,5/26/04,450,Clairton Blvd,15236,40.338077,-79.978961,Dollar Menu
Arby's #7550,ARG Co.,5/26/04,4810,McKnight Rd,15237,40.525384,-80.004977,Dollar Menu
Arby's #7633,ARG Co,7/29/05,5205,Library Rd,15102,40.333904,-80.023611,Dollar Menu
Arby's #7678,RTM Operating Company,12/20/05,2831,Jacks Run Rd,15131,40.338628,-79.806234,Dollar Menu
Arby's #8042,ARG Co,11/24/08,9100,University Blvd,15108,40.502499,-80.222638,Dollar Menu
Arby's #8436,,1/12/15,808,Liberty Ave,15222,40.442516,-79.998747,Dollar Menu
Auntie Anne's,Romco Inc,2/25/09,3075,Clairton Blvd / Century III Mall,15123,40.340291,-79.938522,"Breakfast, Drink, Other"
Auntie Anne's,MM Pretzels LLC,11/1/02,309,Monroeville Mall,15146,40.426747,-79.79493,"Breakfast, Drink, Other"
Auntie Anne's / Cinnabon,EPOCH 5,3/30/12,,Pgh Intl Airport / Ne-1,15231,40.495309,-80.235291,"Breakfast, Drink, Other"
Auntie Anne's #Pa-219,Romco Inc,7/5/05,110,Pittsburgh Mills Cir,15084,40.637815,-79.796052,"Breakfast, Drink, Other"
Auntie Anne's FC-9,Romco Corp,11/4/03,100,Robinson Center Dr,15205,40.454124,-80.161164,"Breakfast, Drink, Other"
Auntie Anne's Kiosk,Romco Inc,9/29/04,100,Robinson Center Dr,15205,40.454124,-80.161164,"Breakfast, Drink, Other"
Auntie Anne's Pa #163,Romco Inc,3/2/09,1000,Ross Park Mall Dr,15232,40.544559,-80.008739,"Breakfast, Drink, Other"
Auntie Anne's Pretzels,M M Pretzels LLC,2/26/03,200,Monroeville Mall (Food Court),15146,40.432471,-79.751203,"Breakfast, Drink, Other"
Auntie Anne's Pretzels #PA287,Monroeville Mall Pretzel,10/18/13,,Monroville Mall,15146,40.430955,-79.794637,"Breakfast, Drink, Other"
Auntie Anne's Pretzels PA 253-- Upper Level,Romco Inc,10/29/09,301,South Hills Village Kiosk Upper Level,15241,40.32057,-80.087015,"Breakfast, Drink, Other"
Bartram House Bakery,Warne Foods LLC,10/5/11,2000,Village Run Rd,15090,40.633331,-80.056371,"Breakfast, Drink, Other"
